,respondent_id,city_of_residence,citizenship,data_id,reason_name,amount,currency,transaction_date,account,transaction_id,surveyor,tool,timeline,transaction_type,payment_type,date_created,date_last_updated,edit_count,description,file
45,254525,Mutare,Zimbabwe,IN00036358,Mdawini Tuckshop,1963.0,ZWL,2020-06-19,,,,,Full payment,,Full payment,2020-06-22,2020-07-23,1,,income
46,254525,Mutare,Zimbabwe,IN00036359,Mdawini Tuckshop,2001.0,ZWL,2020-06-20,,,,,Full payment,,Full payment,2020-06-22,2020-07-23,1,,income
47,254525,Mutare,Zimbabwe,IN00037967,Mdawini Tuckshop,2430.0,ZWL,2020-06-21,,,,,Full payment,,Full payment,2020-06-30,2020-07-23,2,,income
48,254525,Mutare,Zimbabwe,IN00037968,Mdawini Tuckshop,2500.0,ZWL,2020-06-22,,,,,Full payment,,Full payment,2020-06-30,2020-07-23,1,,income
49,254525,Mutare,Zimbabwe,IN00037969,Mdawini Tuckshop,2400.0,ZWL,2020-06-23,,,,,Full payment,,Full payment,2020-06-30,2020-07-23,1,,income
50,254525,Mutare,Zimbabwe,IN00037970,Mdawini Tuckshop,2387.0,ZWL,2020-06-24,,,,,Full payment,,Full payment,2020-06-30,2020-07-23,1,,income
51,254525,Mutare,Zimbabwe,IN00037971,Mdawini Tuckshop,2675.0,ZWL,2020-06-25,,,,,Full payment,,Full payment,2020-06-30,2020-07-20,1,,income
52,254525,Mutare,Zimbabwe,IN00037972,Mdawini Tuckshop,2375.0,ZWL,2020-06-26,,,,,Full payment,,Full payment,2020-06-30,2020-07-20,1,,income
53,254525,Mutare,Zimbabwe,IN00037973,Mdawini Tuckshop,2428.0,ZWL,2020-06-27,,,,,Full payment,,Full payment,2020-06-30,2020-07-20,2,,income
54,254525,Mutare,Zimbabwe,IN00037974,Mdawini Tuckshop,2400.0,ZWL,2020-06-28,,,,,Full payment,,Full payment,2020-06-30,2020-07-20,1,,income
55,254525,Mutare,Zimbabwe,IN00037975,Mdawini Tuckshop,2500.0,ZWL,2020-06-29,,,,,Full payment,,Full payment,2020-06-30,2020-07-20,2,,income
56,254525,Mutare,Zimbabwe,IN00038816,Mdawini Tuckshop,2245.0,ZWL,2020-06-30,,,,,Full payment,,Full payment,2020-07-09,2020-07-20,1,,income
57,254525,Mutare,Zimbabwe,IN00038817,Mdawini Tuckshop,1897.0,ZWL,2020-07-01,,,,,Full payment,,Full payment,2020-07-09,2020-07-20,1,,income
58,254525,Mutare,Zimbabwe,IN00038818,Mdawini Tuckshop,2367.0,ZWL,2020-07-02,,,,,Full payment,,Full payment,2020-07-09,2020-07-20,1,,income
59,254525,Mutare,Zimbabwe,IN00038819,Mdawini Tuckshop,3000.0,ZWL,2020-07-03,,,,,Full payment,,Full payment,2020-07-09,2020-07-20,4,,income
60,254525,Mutare,Zimbabwe,IN00038820,Mdawini Tuckshop,3537.0,ZWL,2020-07-04,,,,,Full payment,,Full payment,2020-07-09,2020-07-20,1,,income
61,254525,Mutare,Zimbabwe,IN00038821,Mdawini Tuckshop,2376.0,ZWL,2020-07-05,,,,,Full payment,,Full payment,2020-07-09,2020-07-20,1,,income
62,254525,Mutare,Zimbabwe,IN00038822,Mdawini Tuckshop,1800.0,ZWL,2020-07-07,,,,,Full payment,,Full payment,2020-07-09,2020-07-20,1,,income
63,254525,Mutare,Zimbabwe,IN00041251,Mdawini Tuckshop,2900.0,ZWL,2020-07-13,,,,,Full payment,,Full payment,2020-07-20,2020-07-20,0,,income
64,254525,Mutare,Zimbabwe,IN00041252,Mdawini Tuckshop,2500.0,ZWL,2020-07-14,,,,,Full payment,,Full payment,2020-07-20,2020-07-20,0,,income
65,254525,Mutare,Zimbabwe,IN00041253,Mdawini Tuckshop,3100.0,ZWL,2020-07-15,,,,,Full payment,,Full payment,2020-07-20,2020-07-20,0,,income
66,254525,Mutare,Zimbabwe,IN00041254,Mdawini Tuckshop,2956.0,ZWL,2020-07-16,,,,,Full payment,,Full payment,2020-07-20,2020-07-20,0,,income
67,254525,Mutare,Zimbabwe,IN00041255,Mdawini Tuckshop,3000.0,ZWL,2020-07-17,,,,,Full payment,,Full payment,2020-07-20,2020-07-20,0,,income
68,254525,Mutare,Zimbabwe,IN00041256,Mdawini Tuckshop,2900.0,ZWL,2020-07-18,,,,,Full payment,,Full payment,2020-07-20,2020-07-20,0,,income
69,254525,Mutare,Zimbabwe,IN00041257,Mdawini Tuckshop,3400.0,ZWL,2020-07-19,,,,,Full payment,,Full payment,2020-07-20,2020-07-20,0,,income
70,254525,Mutare,Zimbabwe,IN00042411,Mdawini Tuckshop,3170.0,ZWL,2020-07-20,,,,,Full payment,,Full payment,2020-07-28,2020-07-28,0,,income
71,254525,Mutare,Zimbabwe,IN00042412,Mdawini Tuckshop,4171.0,ZWL,2020-07-22,,,,,Full payment,,Full payment,2020-07-28,2020-07-28,0,,income
72,254525,Mutare,Zimbabwe,IN00042413,Mdawini Tuckshop,4225.0,ZWL,2020-07-23,,,,,Full payment,,Full payment,2020-07-28,2020-07-28,0,,income
73,254525,Mutare,Zimbabwe,IN00042414,Mdawini Tuckshop,4070.0,ZWL,2020-07-24,,,,,Full payment,,Full payment,2020-07-28,2020-07-28,0,,income
74,254525,Mutare,Zimbabwe,IN00042415,Mdawini Tuckshop,3905.0,ZWL,2020-07-25,,,,,Full payment,,Full payment,2020-07-28,2020-07-28,0,,income
75,254525,Mutare,Zimbabwe,IN00042416,Mdawini Tuckshop,2982.0,ZWL,2020-07-26,,,,,Full payment,,Full payment,2020-07-28,2020-07-28,0,,income
76,254525,Mutare,Zimbabwe,IN00045317,Mdawini Tuckshop,2760.0,ZWL,2020-07-27,,,,,Full payment,,Full payment,2020-08-07,2020-08-07,0,,income
77,254525,Mutare,Zimbabwe,IN00045318,Mdawini Tuckshop,2075.0,ZWL,2020-07-28,,,,,Full payment,,Full payment,2020-08-07,2020-08-07,0,,income
78,254525,Mutare,Zimbabwe,IN00045319,Mdawini Tuckshop,2040.0,ZWL,2020-07-29,,,,,Full payment,,Full payment,2020-08-07,2020-08-07,0,,income
79,254525,Mutare,Zimbabwe,IN00045320,Mdawini Tuckshop,2740.0,ZWL,2020-07-30,,,,,Full payment,,Full payment,2020-08-07,2020-08-07,0,,income
80,254525,Mutare,Zimbabwe,IN00045321,Mdawini Tuckshop,1766.0,ZWL,2020-07-31,,,,,Full payment,,Full payment,2020-08-07,2020-08-07,0,,income
81,254525,Mutare,Zimbabwe,IN00045322,Mdawini Tuckshop,2075.0,ZWL,2020-08-01,,,,,Full payment,,Full payment,2020-08-07,2020-08-07,0,,income
82,254525,Mutare,Zimbabwe,IN00045323,Mdawini Tuckshop,1550.0,ZWL,2020-08-02,,,,,Full payment,,Full payment,2020-08-07,2020-08-07,0,,income
83,254525,Mutare,Zimbabwe,IN00046155,Mdawini Tuckshop,2857.5,ZWL,2020-08-04,,,,,Full payment,,Full payment,2020-08-12,2020-08-12,0,,income
84,254525,Mutare,Zimbabwe,IN00046156,Mdawini Tuckshop,1605.0,ZWL,2020-08-05,,,,,Full payment,,Full payment,2020-08-12,2020-08-12,0,,income
85,254525,Mutare,Zimbabwe,IN00046157,Mdawini Tuckshop,2490.0,ZWL,2020-08-06,,,,,Full payment,,Full payment,2020-08-12,2020-08-12,0,,income
86,254525,Mutare,Zimbabwe,IN00046158,Mdawini Tuckshop,3237.0,ZWL,2020-08-07,,,,,Full payment,,Full payment,2020-08-12,2020-08-12,0,,income
87,254525,Mutare,Zimbabwe,IN00046159,Mdawini Tuckshop,3287.0,ZWL,2020-08-08,,,,,Full payment,,Full payment,2020-08-12,2020-08-12,0,,income
88,254525,Mutare,Zimbabwe,IN00046160,Mdawini Tuckshop,2940.0,ZWL,2020-08-09,,,,,Full payment,,Full payment,2020-08-12,2020-08-12,0,,income
89,254525,Mutare,Zimbabwe,IN00046161,Mdawini Tuckshop,2513.0,ZWL,2020-08-10,,,,,Full payment,,Full payment,2020-08-12,2020-08-12,0,,income
90,254525,Mutare,Zimbabwe,IN00046890,Mdawini Tuckshop,1800.0,ZWL,2020-08-11,,,,,Full payment,,Full payment,2020-08-19,2020-08-19,0,,income
